DSDIID,DSDINGR,DSDBID,DSDBCNAM,DSDBCCAT,DSDBCID
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2951.0,COPPER CHELAZOME,2.0,10003151
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2952.0,ZINC CHELAZOME,2.0,10003152
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2953.0,BORON COMPLEX,2.0,10003153
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2954.0,MANGANESE CHELAZOME,2.0,10003154
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2955.0,FERROCHEL,2.0,10003155
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2956.0,SELENIUM COMPLEX,4.0,10003156
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2957.0,MOLYBDENUM CHELAZOME,2.0,10003157
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2958.0,VANADIUM CHELAVITE,2.0,10003158
4064.0,ESSENTIALS FOR LIFE 1 PROPRIETARY MINERAL BLEND,2959.0,CHROMIUM CHELAVITE,2.0,10003159
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,9.0,AMYLASE,4.0,10000015
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,72.0,CELLULASE,4.0,10000081
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,225.0,LIPASE,4.0,10000242
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,293.0,PROTEASE,4.0,10000312
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,1223.0,CATALASE,4.0,10001343
4065.0,ESSENTIALS FOR LIFE 1 CAEDS BLEND,3872.0,CERECALASE,4.0,10004088
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1454.0,L. BREVIS,4.0,10001586
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1455.0,L. SALIVARIUS,4.0,10001587
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1457.0,L. BULGARICUS,4.0,10001589
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1844.0,LACTOBACILLUS PLANTARUM,4.0,10001997
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1847.0,BIFIDOBACTERIUM LONGUM,4.0,10002000
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,1934.0,STREPTOCOCCUS THERMOPHILUS,4.0,10002087
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,2367.0,BIFIDOBACTERIUM INFANTIS,4.0,10002542
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,2406.0,BIFIDOBACTERIUM BIFFIDUM,4.0,10002583
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,3261.0,L. REUTERI,4.0,10003468
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,3262.0,L. LACTIS,4.0,10003469
4066.0,ESSENTIALS FOR LIFE 2 PROPRIETARY PROBIOTIC BLEND,3386.0,ENTEROCOCCUS FAECIUM,4.0,10003594
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,9.0,AMYLASE,4.0,10000015
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,72.0,CELLULASE,4.0,10000081
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,225.0,LIPASE,4.0,10000242
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,233.0,MALT DIASTASE,4.0,10000250
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,293.0,PROTEASE,4.0,10000312
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,566.0,GLUCOAMYLASE,4.0,10000635
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,1245.0,LACTASE,4.0,10001368
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,1475.0,INVERTASE,4.0,10001607
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,2266.0,ACID STABLE PROTEASE,4.0,10002436
4067.0,ESSENTIALS FOR LIFE 2 PROPRIETARY ENZYME BLEND,3378.0,PEPTIDASE FP,4.0,10003586
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,63.0,CALCIUM,2.0,10000070
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,2949.0,CALCIUM CHELAZOME,2.0,10003149
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,2950.0,MAGNESIUM CHELAZOME,2.0,10003150
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,2952.0,ZINC CHELAZOME,2.0,10003152
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,2954.0,MANGANESE CHELAZOME,2.0,10003154
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,2959.0,CHROMIUM CHELAVITE,2.0,10003159
4068.0,ESSENTIALS FOR LIFE 2 CAEDS BLEND,4069.0,MGG (MAGNESIUM GLYCYLGLUTAMINE),4.0,10004287
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,23.0,BEE POLLEN POWDER,4.0,10000030
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,73.0,CHAMOMILE FLOWERS POWDER,3.0,10000082
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,519.0,CHLORELLA POWDER,3.0,10000578
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,786.0,UVA URSI (LEAF),3.0,10000867
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,874.0,AMERICAN GINSENG (ROOT),3.0,10000960
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,1018.0,ALFALFA LEAF POWDER,3.0,10001110
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,1023.0,DANDELION ROOT POWDER,3.0,10001116
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,1145.0,ROSEMARY (LEAF),3.0,10001252
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,1401.0,CHINESE LICORICE (ROOT),3.0,10001532
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,2334.0,IRISH MOSS POWDER,3.0,10002507
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,3419.0,CALENDULA (FLOWER),3.0,10003627
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,3659.0,ALOE VERA LEAF POWDER,3.0,10003873
4077.0,FUTUREBIOTICS 30 DAY BEAUTY SECRET BLEND,4078.0,SEA VEGETABLE,3.0,10004296
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,22.0,BEE POLLEN,4.0,10000029
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,137.0,GINGER ROOT,3.0,10000151
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,150.0,GOTU KOLA,3.0,10000164
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,217.0,LECITHIN,4.0,10000233
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,249.0,NETTLE LEAVES,3.0,10000267
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,309.0,ROYAL JELLY,4.0,10000329
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,886.0,SARSAPARILLA,3.0,10000972
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,2007.0,BOVINE COMPLEX,4.0,10002166
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,2365.0,GOLDENSEAL,3.0,10002540
4080.0,METAB-O-LITE PLUS PROPRIETARY BLEND,2705.0,DAMIANA,3.0,10002897
4085.0,HI-ENER-G STANDARDIZED GINSENG CONCENTRATE,190.0,KOREAN GINSENG ROOT,3.0,10000204
4085.0,HI-ENER-G STANDARDIZED GINSENG CONCENTRATE,874.0,AMERICAN GINSENG (ROOT),3.0,10000960
4085.0,HI-ENER-G STANDARDIZED GINSENG CONCENTRATE,3194.0,CHINESE GINSENG ROOT,3.0,10003399
4086.0,HI-ENER-G HERBAL BLEND,465.0,GREEN TEA LEAVES,3.0,10000516
4086.0,HI-ENER-G HERBAL BLEND,477.0,GUARANA (SEED),3.0,10000530
4086.0,HI-ENER-G HERBAL BLEND,629.0,FO-TI (ROOT),3.0,10000701
4086.0,HI-ENER-G HERBAL BLEND,1201.0,GOTU KOLA (LEAF),3.0,10001318
4086.0,HI-ENER-G HERBAL BLEND,1202.0,JAMAICAN GINGER,3.0,10001319
4086.0,HI-ENER-G HERBAL BLEND,1781.0,YERBA MATE (LEAF),3.0,10001932
4086.0,HI-ENER-G HERBAL BLEND,2705.0,DAMIANA,3.0,10002897
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,322.0,SHIITAKE MUSHROOMS,3.0,10000342
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,2201.0,REISHI MUSHROOM,3.0,10002368
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,2202.0,MAITAKE MUSHROOM,3.0,10002369
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,2534.0,CHAGA MUSHROOM,3.0,10002717
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4089.0,CORDYCEPS SINENSIS CS4,3.0,10004307
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4090.0,AGARICUS BLAZEI,3.0,10004308
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4091.0,TRAMETES VERSICOLOR HUELO 1,3.0,10004309
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4092.0,HERICIUM ERINACEUS,3.0,10004310
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4093.0,TREMELLA MESENTERICA,3.0,10004311
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4094.0,PHELLINUS LINTEUS,3.0,10004312
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4095.0,PLEUROTUS TUBER-REGIUM,3.0,10004313
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4096.0,OYSTER (PLEUROTUS OSTREATUS) MUSHROOM,3.0,10004314
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4097.0,LEPIOTA PROCERA,3.0,10004315
4088.0,NIKKEN IMMUNITY PROPRIETARY BLEND,4098.0,ENOKI MUSHROOM,3.0,10004316
4099.0,NIKKEN MAXIMUM PURIFYING BLEND,1696.0,ARTICHOKE LEAF EXTRACT,3.0,10001844
4099.0,NIKKEN MAXIMUM PURIFYING BLEND,2542.0,SARSAPARILLA EXTRACT (ROOT),3.0,10002730
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,70.0,CASCADA SAGRADA BARK,3.0,10000079
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,132.0,GARLIC,3.0,10000146
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,308.0,ROSE HIPS,3.0,10000328
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,618.0,ALFALFA (LEAF),3.0,10000690
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,1680.0,CAPSICUM (CAYENNE PEPPER),3.0,10001826
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,1867.0,BUCKTHORN BARK,3.0,10002020
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,2365.0,GOLDENSEAL,3.0,10002540
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,2850.0,LACTOBACILLUS BIFIDUS POWDER,4.0,10003047
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,2883.0,BLONDE PSYLLIUM SEED HUSK,3.0,10003081
4102.0,PERFECT 7 PROPRIETARY POWDER BLEND,3992.0,BENTONITE,4.0,10004209
4103.0,NATURE'S LIFE ACIDOPHILUS CULTURE BLEND,12.0,APPLE PECTIN,3.0,10000018
4103.0,NATURE'S LIFE ACIDOPHILUS CULTURE BLEND,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
4103.0,NATURE'S LIFE ACIDOPHILUS CULTURE BLEND,1846.0,LACTOBACILLUS BULGARICUS,4.0,10001999
4103.0,NATURE'S LIFE ACIDOPHILUS CULTURE BLEND,2632.0,LACTOSE,4.0,10002823
4103.0,NATURE'S LIFE ACIDOPHILUS CULTURE BLEND,4104.0,LACTOBACILLUS CASEI-RHAMNOSUS,4.0,10004322
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,16.0,ASTRAGALUS ROOT,3.0,10000023
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,322.0,SHIITAKE MUSHROOMS,3.0,10000342
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,901.0,ECHINACEA PURPUREA (AERIAL PARTS),3.0,10000987
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,933.0,ECHINACEA ANGUSTIFOLIA ROOT,3.0,10001020
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,3312.0,LIGUSTICUM FRUIT,3.0,10003520
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,3332.0,CODONOPSIS ROOT,3.0,10003540
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,4106.0,BAI-ZHU ATRACTYLODES (RHIZOME),3.0,10004324
4105.0,DEEP DEFENSE 4:1 HERBAL EXTRACT BLEND,4107.0,REISHI (FRUITING BODY),4.0,10004325
4113.0,PERFECTLY BALANCED  HERBAL BASE,112.0,ECHINACEA,3.0,10000125
4113.0,PERFECTLY BALANCED  HERBAL BASE,137.0,GINGER ROOT,3.0,10000151
4113.0,PERFECTLY BALANCED  HERBAL BASE,241.0,MILK THISTLE,3.0,10000259
4113.0,PERFECTLY BALANCED  HERBAL BASE,2365.0,GOLDENSEAL,3.0,10002540
4113.0,PERFECTLY BALANCED  HERBAL BASE,2486.0,GINKGO BILOBA,3.0,10002666
4113.0,PERFECTLY BALANCED  HERBAL BASE,4114.0,CAPSIUM,4.0,10004332
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,12.0,APPLE PECTIN,3.0,10000018
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,298.0,PSYLLIUM SEED HUSKS,3.0,10000317
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,840.0,SPINACH LEAVES,3.0,10000925
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,2170.0,CAULIFLOWER,3.0,10002335
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,2173.0,BRUSSELS SPROUTS,3.0,10002338
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3298.0,OAT BRAN (SEED),3.0,10003506
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3299.0,PRUNE POWDER (FRUIT),3.0,10003507
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3300.0,PEACH FIBER (FRUIT),3.0,10003508
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3301.0,KIDNEY BEAN (SEED),3.0,10003509
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3303.0,BROCCOLI (FLOWER),3.0,10003511
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3305.0,CABBAGE (AERIAL),3.0,10003513
4116.0,VITAMIN WORLD FIBER BLEND CONCENTRATE,3306.0,CARROT (ROOT),3.0,10003514
4121.0,KAL ACTISORB BASE,411.0,TURMERIC ROOT EXTRACT,3.0,10000454
4121.0,KAL ACTISORB BASE,597.0,GINGER ROOT EXTRACT,3.0,10000666
4121.0,KAL ACTISORB BASE,642.0,ROSEMARY EXTRACT (LEAF),3.0,10000714
4121.0,KAL ACTISORB BASE,1063.0,CAYENNE,3.0,10001163
4121.0,KAL ACTISORB BASE,2586.0,BIOPERINE,3.0,10002776
4123.0,KAL ENHANCED ENERGY ENZYME BLEND,9.0,AMYLASE,4.0,10000015
4123.0,KAL ENHANCED ENERGY ENZYME BLEND,225.0,LIPASE,4.0,10000242
4123.0,KAL ENHANCED ENERGY ENZYME BLEND,293.0,PROTEASE,4.0,10000312
4124.0,KAL VITAMIN C SUPPORT BASE,308.0,ROSE HIPS,3.0,10000328
4124.0,KAL VITAMIN C SUPPORT BASE,757.0,BIOFLAVONOID CONCENTRATE,4.0,10000837
4124.0,KAL VITAMIN C SUPPORT BASE,2816.0,ACEROLA CHERRY,3.0,10003012
4124.0,KAL VITAMIN C SUPPORT BASE,4125.0,ASCORBIGEN,4.0,10004343
4124.0,KAL VITAMIN C SUPPORT BASE,4126.0,INDOLE-3-CARBINOL,4.0,10004344
4134.0,SOLARAY LUTEIN EYES BLEND,557.0,SPINACH,3.0,10000626
4134.0,SOLARAY LUTEIN EYES BLEND,642.0,ROSEMARY EXTRACT (LEAF),3.0,10000714
4134.0,SOLARAY LUTEIN EYES BLEND,789.0,BLUEBERRY (BERRY),3.0,10000870
4135.0,VITAMIN WORLD PYRUVATE COMPLEX,835.0,CALCIUM PYRUVATE,4.0,10000920
4135.0,VITAMIN WORLD PYRUVATE COMPLEX,922.0,POTASSIUM PYRUVATE,4.0,10001009
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,199.0,L-GLUTAMINE,5.0,10000214
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,202.0,L-ISOLEUCINE,5.0,10000218
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,203.0,L-LEUCINE,5.0,10000219
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,214.0,L-VALINE,5.0,10000230
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,247.0,N-ACETYL CYSTEINE (NAC),5.0,10000265
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,412.0,TAURINE,5.0,10000455
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,416.0,ALPHA LIPOIC ACID,4.0,10000459
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,480.0,CREATINE MONOHYDRATE,4.0,10000533
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,481.0,GLUTAMINE PEPTIDE,5.0,10000534
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,3282.0,FENUGREEK,3.0,10003489
4136.0,MUSCLETECH MASS-PRO PROPRIETARY BLEND,4137.0,D-PINITOL,4.0,10004355
4144.0,SUNDOWN SAW PALMETTO HERBAL COMPLEX BLEND,2731.0,PYGEUM BARK,3.0,10002923
4144.0,SUNDOWN SAW PALMETTO HERBAL COMPLEX BLEND,4145.0,NETTLE (ROOT),3.0,10004363
4146.0,HEBA SPRING GREEN TEA HERBAL BLEND,406.0,GREEN TEA,3.0,10000449
4146.0,HEBA SPRING GREEN TEA HERBAL BLEND,4147.0,FRUIT OF PARADISE (LUO HAN KUO),3.0,10004365
4146.0,HEBA SPRING GREEN TEA HERBAL BLEND,4148.0,BLACKBERRY EXTRACT,3.0,10004366
4160.0,HEBA GREEN TEA ORAC HERBAL BLEND,465.0,GREEN TEA LEAVES,3.0,10000516
4160.0,HEBA GREEN TEA ORAC HERBAL BLEND,4148.0,BLACKBERRY EXTRACT,3.0,10004366
4160.0,HEBA GREEN TEA ORAC HERBAL BLEND,4163.0,LUO HAN (CUCURBITACEA),3.0,10004383
4164.0,SUPER PROSTATE FORMULA PROPRIETARY COMPLEX,4165.0,SOY PHYTOSTEROL,3.0,10004385
4164.0,SUPER PROSTATE FORMULA PROPRIETARY COMPLEX,4166.0,PYGEUM AFRICANUM,3.0,10004386
4171.0,ALTRUM SEA VEGETABLE COMPLEX,184.0,KELP,3.0,10000198
4171.0,ALTRUM SEA VEGETABLE COMPLEX,3079.0,BLADDERWRACK,3.0,10003282
4171.0,ALTRUM SEA VEGETABLE COMPLEX,3460.0,NORI,3.0,10003670
4171.0,ALTRUM SEA VEGETABLE COMPLEX,3462.0,WAKAME,3.0,10003672
4172.0,ALTRUM SUPERFOODS BLEND,5.0,ALFALFA,3.0,10000008
4172.0,ALTRUM SUPERFOODS BLEND,17.0,BARLEY GRASS,3.0,10000024
4172.0,ALTRUM SUPERFOODS BLEND,22.0,BEE POLLEN,4.0,10000029
4172.0,ALTRUM SUPERFOODS BLEND,78.0,CHLORELLA,3.0,10000087
4172.0,ALTRUM SUPERFOODS BLEND,271.0,PARSLEY,3.0,10000289
4172.0,ALTRUM SUPERFOODS BLEND,332.0,SPIRULINA,3.0,10000352
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,52.0,BROCCOLI,3.0,10000059
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,68.0,CARROT,3.0,10000077
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,557.0,SPINACH,3.0,10000626
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,2167.0,KALE,3.0,10002332
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,2169.0,CELERY,3.0,10002334
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,2170.0,CAULIFLOWER,3.0,10002335
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,2173.0,BRUSSELS SPROUTS,3.0,10002338
4173.0,ALTRUM PHYTONUTRIENT VEGETABLE CONCENTRATES,3516.0,BEET,3.0,10003728
4174.0,ALTRUM HERBS BLEND,101.0,DANDELION ROOT,3.0,10000111
4174.0,ALTRUM HERBS BLEND,150.0,GOTU KOLA,3.0,10000164
4174.0,ALTRUM HERBS BLEND,313.0,SARSAPARILLA ROOT,3.0,10000333
4174.0,ALTRUM HERBS BLEND,629.0,FO-TI (ROOT),3.0,10000701
4174.0,ALTRUM HERBS BLEND,646.0,PEPPERMINT LEAVES,3.0,10000718
4174.0,ALTRUM HERBS BLEND,1173.0,GINGER (RHIZOME EXTRACT),3.0,10001285
4175.0,ALTRUM HERBAL EXTRACT BLEND,16.0,ASTRAGALUS ROOT,3.0,10000023
4175.0,ALTRUM HERBAL EXTRACT BLEND,221.0,LICORICE ROOT,3.0,10000238
4175.0,ALTRUM HERBAL EXTRACT BLEND,871.0,SCHIZANDRA (FRUIT),3.0,10000957
4175.0,ALTRUM HERBAL EXTRACT BLEND,1416.0,REHMANNIA (ROOT),3.0,10001547
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,59.0,BURDOCK ROOT,3.0,10000066
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,101.0,DANDELION ROOT,3.0,10000111
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,137.0,GINGER ROOT,3.0,10000151
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,161.0,HAWTHORN BERRIES,3.0,10000175
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,221.0,LICORICE ROOT,3.0,10000238
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,238.0,MARSHMALLOW ROOT,3.0,10000255
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,312.0,SAFFLOWER OIL,3.0,10000332
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,317.0,SCULCAP,3.0,10000337
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,329.0,SLIPPERY ELM BARK,3.0,10000349
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,532.0,YARROW FLOWERS,3.0,10000600
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,534.0,RED RASPBERRY LEAVES,3.0,10000602
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,618.0,ALFALFA (LEAF),3.0,10000690
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,795.0,CAYENNE (FRUIT),3.0,10000876
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,797.0,MULLEIN (LEAF),3.0,10000878
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,808.0,IRISH MOSS,3.0,10000890
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,814.0,BLACK COHOSH (ROOT),3.0,10000897
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,933.0,ECHINACEA ANGUSTIFOLIA ROOT,3.0,10001020
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,944.0,GINKGO BILOBA LEAF EXTRACT,3.0,10001032
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,992.0,GREEN TEA LEAF EXTRACT,3.0,10001082
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,1152.0,PAPAYA LEAF,3.0,10001260
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,1337.0,FENNEL (SEED),3.0,10001465
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,1666.0,MILK THISTLE SEED EXTRACT,3.0,10001810
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,1864.0,PLANTAIN HERB,3.0,10002017
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,2110.0,FENUGREEK SEED,3.0,10002272
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,2456.0,YELLOW DOCK ROOT,3.0,10002635
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,2601.0,HORSETAIL HERB,3.0,10002791
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,2602.0,RED CLOVER TOPS,3.0,10002792
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,3156.0,MINT LEAF,3.0,10003360
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,3700.0,SIBERIAN ELEUTHERO ROOT,3.0,10003914
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,4182.0,CHICKWEED (LEAF),3.0,10004402
4181.0,NATURE'S SECRET MULTI-HERB PROPRIETARY BLEND,4183.0,CLUB MOSS (LEAF),3.0,10004403
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,12.0,APPLE PECTIN,3.0,10000018
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,70.0,CASCADA SAGRADA BARK,3.0,10000079
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,137.0,GINGER ROOT,3.0,10000151
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,298.0,PSYLLIUM SEED HUSKS,3.0,10000317
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,329.0,SLIPPERY ELM BARK,3.0,10000349
4186.0,NATURE'S SECRET MULTI-FIBER PROPRIETARY BLEND,534.0,RED RASPBERRY LEAVES,3.0,10000602
